Timestamp,Payload
0,6
1,13
2,13
3,17
4,4
5,19
6,3
7,4
8,5
9,12
10,17
11,16
12,19
13,17
14,11
15,3
16,1
17,2
18,14
19,6
20,4
21,4
22,10
23,11
24,3
25,11
26,2
27,10
28,1
29,14
30,4
31,3
32,0
33,3
34,14
35,10
36,15
37,4
38,3
39,13
40,12
41,11
42,10
43,7
44,16
45,0
46,13
47,1
48,18
49,15
50,13
51,9
52,2
53,15
54,12
55,19
56,4
57,17
58,1
59,5
60,5
61,3
62,5
63,6
64,16
65,1
66,13
67,1
68,16
69,6
70,14
71,18
72,8
73,0
74,5
75,2
76,11
77,3
78,13
79,15
80,5
81,5
82,5
83,3
84,12
85,8
86,3
87,12
88,17
89,10
90,13
91,0
92,14
93,8
94,11
95,17
96,1
97,9
98,10
99,5
100,15
101,11
102,18
103,15
104,1
105,17
106,6
107,6
108,6
109,8
110,7
111,8
112,18
113,14
114,6
115,16
116,8
117,8
118,5
119,17
120,13
121,0
122,18
123,10
124,13
125,6
126,5
127,14
128,15
129,9
130,7
131,15
132,11
133,11
134,18
135,5
136,11
137,15
138,19
139,0
140,17
141,17
142,0
143,9
144,15
145,6
146,7
147,10
148,5
149,3
150,4
151,10
152,14
153,2
154,3
155,5
156,14
157,0
158,10
159,17
160,3
161,4
162,8
163,8
164,6
165,1
166,16
167,14
168,10
169,0
170,19
171,13
172,13
173,15
174,1
175,3
176,11
177,8
178,15
179,10
180,4
181,2
182,2
183,12
184,0
185,12
186,10
187,10
188,13
189,11
190,8
191,10
192,18
193,18
194,12
195,15
196,13
197,15
198,13
199,10
200,6
201,13
202,13
203,2
204,5
205,13
206,0
207,6
208,8
209,18
210,2
211,0
212,3
213,14
214,14
215,11
216,14
217,19
218,8
219,11
220,11
221,0
222,2
223,0
224,18
225,7
226,7
227,3
228,1
229,9
230,4
231,17
232,19
233,5
234,12
235,0
236,11
237,2
238,1
239,13
240,6
241,9
242,8
243,7
244,0
245,1
246,10
247,17
248,2
249,4
250,7
251,13
252,10
253,7
254,15
255,16
256,17
257,13
258,7
259,13
260,13
261,18
262,1
263,14
264,2
265,15
266,18
267,15
268,8
269,4
270,4
271,6
272,14
273,1
274,11
275,18
276,4
277,4
278,13
279,13
280,6
281,13
282,13
283,1
284,19
285,19
286,0
287,14
288,18
289,6
290,15
291,12
292,5
293,12
294,19
295,15
296,17
297,11
298,1
299,12
300,5
301,3
302,0
303,10
304,3
305,12
306,10
307,6
308,2
309,6
310,16
311,15
312,16
313,2
314,14
315,19
316,15
317,4
318,4
319,3
320,4
321,10
322,2
323,18
324,13
325,17
326,13
327,6
328,6
329,17
330,17
331,7
332,15
333,5
334,4
335,18
336,10
337,5
338,14
339,15
340,8
341,3
342,14
343,7
344,9
345,18
346,18
347,12
348,2
349,18
350,18
351,5
352,16
353,8
354,18
355,17
356,16
357,16
358,16
359,12
360,16
361,1
362,0
363,17
364,8
365,0
366,14
367,18
368,6
369,2
370,2
371,15
372,1
373,18
374,7
375,18
376,17
377,2
378,17
379,6
380,0
381,17
382,3
383,4
384,10
385,18
386,19
387,8
388,5
389,9
390,8
391,8
392,4
393,11
394,18
395,3
396,15
397,10
398,11
399,14
400,17
401,16
402,18
403,9
404,0
405,13
406,16
407,10
408,19
409,0
410,12
411,15
412,16
413,8
414,19
415,17
416,5
417,16
418,12
419,11
420,19
421,16
422,2
423,4
424,3
425,3
426,7
427,13
428,8
429,17
430,12
431,10
432,8
433,18
434,18
435,15
436,0
437,14
438,14
439,16
440,17
441,19
442,6
443,10
444,10
445,1
446,13
447,6
448,3
449,8
450,3
451,7
452,4
453,0
454,10
455,7
456,16
457,15
458,3
459,1
460,9
461,10
462,8
463,12
464,16
465,10
466,8
467,19
468,16
469,13
470,1
471,3
472,8
473,2
474,8
475,2
476,19
477,14
478,18
479,8
480,16
481,12
482,0
483,17
484,9
485,18
486,15
487,16
488,7
489,13
490,1
491,7
492,6
493,15
494,4
495,1
496,5
497,8
498,12
499,12
500,13
501,15
502,2
503,5
504,5
505,9
506,12
507,14
508,5
509,4
510,14
511,8
512,3
513,1
514,0
515,13
516,17
517,18
518,15
519,3
520,3
521,7
522,14
523,12
524,0
525,8
526,5
527,9
528,16
529,6
530,14
531,9
532,3
533,4
534,9
535,1
536,7
537,18
538,5
539,8
540,3
541,6
542,11
543,4
544,0
545,12
546,1
547,15
548,0
549,19
550,5
551,19
552,15
553,9
554,1
555,16
556,2
557,7
558,17
559,0
560,10
561,3
562,3
563,9
564,14
565,9
566,9
567,12
568,12
569,19
570,14
571,16
572,8
573,11
574,17
575,1
576,7
577,11
578,19
579,5
580,0
581,9
582,11
583,8
584,7
585,0
586,17
587,15
588,10
589,13
590,5
591,9
592,6
593,4
594,1
595,15
596,2
597,0
598,6
599,16
600,3
601,8
602,14
603,3
604,4
605,9
606,4
607,8
608,11
609,6
610,3
611,0
612,0
613,16
614,16
615,4
616,6
617,0
618,7
619,3
620,4
621,5
622,19
623,10
624,11
625,1
626,4
627,8
628,4
629,7
630,6
631,11
632,1
633,11
634,6
635,8
636,15
637,16
638,10
639,18
640,13
641,2
642,18
643,13
644,17
645,10
646,3
647,8
648,16
649,16
650,1
651,17
652,2
653,0
654,15
655,1
656,17
657,17
658,4
659,9
660,11
661,2
662,1
663,14
664,2
665,14
666,6
667,4
668,9
669,10
670,12
671,19
672,4
673,11
674,18
675,2
676,4
677,16
678,7
679,16
680,5
681,11
682,5
683,4
