Timestamp,Payload
0,18
1,19
2,7
3,0
4,12
5,3
6,17
7,12
8,3
9,5
10,15
11,11
12,4
13,17
14,1
15,9
16,3
17,19
18,0
19,18
20,2
21,9
22,8
23,12
24,19
25,11
26,6
27,5
28,2
29,9
30,10
31,10
32,4
33,10
34,18
35,13
36,14
37,9
38,16
39,4
40,10
41,16
42,4
43,6
44,12
45,0
46,15
47,15
48,1
49,19
50,17
51,1
52,12
53,15
54,3
55,13
56,14
57,4
58,12
59,13
60,9
61,16
62,14
63,9
64,17
65,6
66,5
67,13
68,2
69,8
70,9
71,17
72,7
73,3
74,16
75,7
76,11
77,9
78,11
79,4
80,19
81,13
82,1
83,18
84,6
85,6
86,8
87,8
88,2
89,1
90,5
91,10
92,15
93,18
94,14
95,15
96,18
97,13
98,15
99,5
100,8
101,5
102,3
103,3
104,7
105,6
106,8
107,12
108,18
109,8
110,10
111,8
112,16
113,6
114,5
115,19
116,2
117,12
118,4
119,19
120,16
121,11
122,17
123,1
124,9
125,10
126,13
127,8
128,9
129,7
130,7
131,4
132,15
133,17
134,15
135,4
136,19
137,3
138,9
139,2
140,14
141,18
142,4
143,19
144,4
145,5
146,2
147,5
148,7
149,12
150,10
151,10
152,4
153,1
154,5
155,15
156,7
157,16
158,15
159,5
160,13
161,7
162,4
163,6
164,19
165,5
166,2
167,9
168,3
169,10
170,5
171,19
172,18
173,6
174,16
175,17
176,14
177,3
178,13
179,18
180,6
181,17
182,4
183,0
184,2
185,14
186,2
187,3
188,13
189,5
190,10
191,2
192,12
193,7
194,17
195,0
196,1
197,9
198,16
199,12
200,7
201,3
202,14
203,11
204,6
205,15
206,14
207,15
208,16
209,16
210,1
211,13
212,0
213,12
214,18
215,3
216,14
217,7
218,6
219,11
220,4
221,1
222,6
223,12
224,9
225,11
226,10
227,6
228,5
229,1
230,13
231,16
232,3
233,10
234,4
235,6
236,19
237,12
238,2
239,3
240,11
241,8
242,5
243,18
244,16
245,6
246,12
247,14
248,19
249,4
250,6
251,2
252,13
253,8
254,16
255,15
256,19
257,11
258,14
259,12
260,18
261,7
262,13
263,3
264,2
265,9
266,13
267,15
268,17
269,7
270,19
271,13
272,16
273,18
274,4
275,17
276,8
277,18
278,6
279,6
280,9
281,1
282,14
283,9
284,1
285,6
286,13
287,15
288,1
289,11
290,11
291,3
292,3
293,8
294,15
295,16
296,4
297,6
298,10
299,3
300,12
301,4
302,9
303,7
304,13
305,9
306,3
307,12
308,3
309,12
310,4
311,8
312,15
313,19
314,4
315,14
316,0
317,7
318,1
319,8
320,0
321,3
322,7
323,9
324,17
325,16
326,16
327,19
328,3
329,1
330,15
331,16
332,10
333,15
334,2
335,5
336,11
337,12
338,15
